dataset,instrument,original_file,split_file,subset,split_x_variable,split_y_variable,original_index_1based,split_row_1based
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,adaptation,X,y,20,1
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,adaptation,X,y,234,2
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,adaptation,X,y,168,3
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,adaptation,X,y,78,4
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,adaptation,X,y,177,5
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,adaptation,X,y,17,6
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,adaptation,X,y,194,7
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,adaptation,X,y,93,8
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,adaptation,X,y,14,9
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,adaptation,X,y,165,10
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,adaptation,X,y,201,11
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,adaptation,X,y,163,12
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,adaptation,X,y,192,13
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,adaptation,X,y,8,14
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,adaptation,X,y,173,15
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,adaptation,X,y,167,16
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,adaptation,X,y,19,17
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,adaptation,X,y,5,18
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,adaptation,X,y,141,19
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,adaptation,X,y,75,20
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,adaptation,X,y,127,21
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,adaptation,X,y,245,22
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,adaptation,X,y,63,23
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,adaptation,X,y,69,24
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,adaptation,X,y,183,25
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,adaptation,X,y,166,26
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,adaptation,X,y,157,27
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,adaptation,X,y,89,28
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,adaptation,X,y,134,29
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,adaptation,X,y,225,30
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,adaptation,X,y,23,31
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,adaptation,X,y,50,32
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,adaptation,X,y,160,33
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,adaptation,X,y,171,34
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,adaptation,X,y,21,35
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,adaptation,X,y,184,36
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,adaptation,X,y,179,37
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,adaptation,X,y,137,38
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,adaptation,X,y,246,39
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,adaptation,X,y,98,40
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,adaptation,X,y,112,41
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,adaptation,X,y,191,42
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,adaptation,X,y,106,43
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,adaptation,X,y,133,44
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,adaptation,X,y,64,45
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,adaptation,X,y,123,46
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,adaptation,X,y,235,47
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,adaptation,X,y,26,48
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,1,1
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,2,2
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,3,3
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,4,4
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,6,5
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,7,6
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,9,7
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,10,8
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,11,9
